,moviename,director,leadactors,screenwriter,picture,averating,numrating,description,typelist,backpost,movieId,title,genres,showyear,ratings_count,backpost-origin
420,Popeye,Robert Altman,"Robin Williams,Shelley Duvall,Ray Walston,Paul Dooley,Richard Libertini,Donald Moffat,Donovan Scott,Roberta Maxwell,Bill Irwin,Linda Hunt,Robert Fortier,David McCharen,Paul L. Smith,MacIntyre Dixon,Wesley Ivan Hurt,Allan F. Nicholls,Peter Bray,Sharon Kinney,Pietro Torrisi,David Arkin",,http://image.tmdb.org/t/p/w185/vFtJCVUPhpHd65G8sZ0NxeQzvVh.jpg,2.6,3862.0,"Popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. During a storm that wrecks his ship, Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive. Before he can win her heart, he must first contend with Olive's fiancé, Bluto.","Action,Adventure,Comedy,Family,Music",http://106.12.12.171/lrdskEcowmXBrSyMt5MXqreWwJ6.jpg,2088,Popeye (1980),Adventure|Comedy|Musical,1980-12-12,3760,http://image.tmdb.org/t/p/w780/lrdskEcowmXBrSyMt5MXqreWwJ6.jpg
421,Sleeping Beauty,"Clyde Geronimi,Wolfgang Reitherman,Les Clark,Eric Larson","Mary Costa,Bill Shirley,Eleanor Audley,Verna Felton,Barbara Luddy,Barbara Jo Allen,Taylor Holmes,Bill Thompson",,http://image.tmdb.org/t/p/w185/iFJGafuB2f2IJWG2EmdtUpgfAn6.jpg,3.6,7919.0,"A beautiful princess born in a faraway kingdom is destined by a terrible curse to prick her finger on the spindle of a spinning wheel and fall into a deep sleep that can only be awakened by true love's first kiss. Determined to protect her, her parents ask three fairies to raise her in hiding. But the evil Maleficent is just as determined to seal the princess's fate.","Fantasy,Animation,Romance,Family",http://106.12.12.171/q45ooDygidJB4pPjEE2xW3sHVUt.jpg,2096,Sleeping Beauty (1959),Animation|Children|Musical,1959-01-28,7766,http://image.tmdb.org/t/p/w780/q45ooDygidJB4pPjEE2xW3sHVUt.jpg
422,Splash,Ron Howard,"Tom Hanks,Daryl Hannah,Eugene Levy,John Candy,Dody Goodman,Shecky Greene,Richard B. Shull,Bobby Di Cicco,Howard Morris,Lowell Ganz,Babaloo Mandel,Tom Toner,Fred Lerner,Rance Howard,Clint Howard",,http://image.tmdb.org/t/p/w185/iDHJwSjoQOXzAVQ7X5SmIK2yYvR.jpg,3.2,13713.0,"A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid.","Comedy,Fantasy,Romance",http://106.12.12.171/mHZ9i2NWnVlds80l1xrUgzTIqWf.jpg,2100,Splash (1984),Comedy|Fantasy|Romance,1984-03-09,13168,http://image.tmdb.org/t/p/w780/mHZ9i2NWnVlds80l1xrUgzTIqWf.jpg
423,Tron,Steven Lisberger,"Jeff Bridges,Bruce Boxleitner,David Warner,Cindy Morgan,Barnard Hughes,Dan Shor,Peter Jurasik,Tony Stephano,Craig Chudy,Vince Deadrick Jr.,Sam Schatz,Michael Dudikoff",,http://image.tmdb.org/t/p/w185/cTF8lpXvAwT1SLH9kVFZZl0AO0D.jpg,3.3,12211.0,"As Kevin Flynn searches for proof that he invented a hit video game, he is ""digitalized"" by a laser and finds himself inside The Grid, where programs suffer under the tyrannical rule of the Master Control Program. With the help of TRON, a security program, Flynn seeks to free The Grid from the MCP.","Science Fiction,Action,Adventure",http://106.12.12.171/rRTMdhZ7kxMdJIqykz0t4p0HABA.jpg,2105,Tron (1982),Action|Adventure|Sci-Fi,1982-07-09,11763,http://image.tmdb.org/t/p/w780/rRTMdhZ7kxMdJIqykz0t4p0HABA.jpg
424,L.A. Story,Mick Jackson,"Steve Martin,Sarah Jessica Parker,Victoria Tennant,Richard E. Grant,Marilu Henner,Susan Forristal,Sam McMurray,Patrick Stewart,Kevin Pollak,Chevy Chase,Woody Harrelson,Rick Moranis,Robert Picardo,George Plimpton,Andrew Amador",,http://image.tmdb.org/t/p/w185/nWoF3yzKMoisiGybTPx1a4xaIKl.jpg,3.6,7711.0,"With the help of a talking freeway billboard, a ""wacky weatherman"" tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early-90s Los Angeles.","Comedy,Drama,Fantasy,Romance",http://106.12.12.171/tICxGzjJit4yIRi0P8RvX8WPmVK.jpg,2108,L.A. Story (1991),Comedy|Romance,1991-02-08,7426,http://image.tmdb.org/t/p/w780/tICxGzjJit4yIRi0P8RvX8WPmVK.jpg
425,Snake Eyes,Brian De Palma,"Nicolas Cage,Gary Sinise,John Heard,Carla Gugino,Tamara Tunie,Stan Shaw,Kevin Dunn,Michael Rispoli,Joel Fabiani,Luis Guzmán,David Anthony Higgins,Mike Starr,Chip Zien,Michaella Bassey,Paul Joseph Bernardo,Jernard Burks,Mark Camacho,Desmond Campbell,Jean-Paul Chartrand,Chip Chuipka,Deano Clavet,Tara Ann Culp,Kelly Deadmon",,http://image.tmdb.org/t/p/w185/i49r4ycCQAoGh2esfnL57PWGNh.jpg,2.8,5460.0,"All bets are off when corrupt homicide cop Rick Santoro witnesses a murder during a boxing match. It's up to him and lifelong friend and naval intelligence agent Kevin Dunne to uncover the conspiracy behind the killing. At every turn, Santoro makes increasingly shocking discoveries that even he can't turn a blind eye to.","Crime,Mystery",http://106.12.12.171/pK5G5br9ooo55zCgyjGDGs4p4Hl.jpg,2126,Snake Eyes (1998),Action|Crime|Mystery|Thriller,1998-08-07,5188,http://image.tmdb.org/t/p/w780/pK5G5br9ooo55zCgyjGDGs4p4Hl.jpg
426,Adventures in Babysitting,Chris Columbus,"Elisabeth Shue,Maia Brewton,Keith Coogan,Anthony Rapp,Calvin Levels,Vincent D'Onofrio,Penelope Ann Miller,George Newbern,Bradley Whitford,John Ford Noonan",,http://image.tmdb.org/t/p/w185/cYCpqHVoZvf5x4bO8EA68YBX1N.jpg,3.2,5129.0,"When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more.","Thriller,Comedy,Crime,Adventure",http://106.12.12.171/s9Ukl6CI1DwyJenfaDH1z1ZVlqV.jpg,2133,Adventures in Babysitting (1987),Adventure|Comedy,1987-07-01,5023,http://image.tmdb.org/t/p/w780/s9Ukl6CI1DwyJenfaDH1z1ZVlqV.jpg
427,Weird Science,John Hughes,"Anthony Michael Hall,Kelly LeBrock,Ilan Mitchell-Smith,Bill Paxton,Suzanne Snyder,Judie Aronson,Robert Rusler,Robert Downey Jr.,Steve James,Vernon Wells,Michael Berryman,Jill Whitlow,Britt Leach,Kym Malin,John Kapelos",,http://image.tmdb.org/t/p/w185/6sK6ywu1dgp3QrCsT6JclKTjV0Q.jpg,3.3,6933.0,"Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men.","Comedy,Romance,Fantasy",http://106.12.12.171/3UemUDKgf7vRIdxftIopOVu7Gxf.jpg,2134,Weird Science (1985),Comedy|Fantasy|Sci-Fi,1985-08-01,6713,http://image.tmdb.org/t/p/w780/3UemUDKgf7vRIdxftIopOVu7Gxf.jpg
428,Charlotte's Web,"Charles A. Nichols,Iwao Takamoto","Debbie Reynolds,Henry Gibson,Danny Bonaduce,Agnes Moorehead,Bob Holt,Paul Lynde,Rex Allen,Dave Madden,Pamelyn Ferdin,John Stephenson,Martha Scott,Joan Gerber,Herb Vigran,Don Messick,William B. White",,http://image.tmdb.org/t/p/w185/aX0r77IQffLo3Efo6sP2ORwIcEM.jpg,3.5,6622.0,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.","Music,Animation,Drama,Family",http://106.12.12.171/rcFsZsgTwC4fz8Hv0d2MtauO9Rh.jpg,2137,Charlotte's Web (1973),Animation|Children,1973-03-01,6213,http://image.tmdb.org/t/p/w780/rcFsZsgTwC4fz8Hv0d2MtauO9Rh.jpg
429,Sixteen Candles,John Hughes,"Molly Ringwald,Justin Henry,Michael Schoeffling,Haviland Morris,Gedde Watanabe,Anthony Michael Hall,Paul Dooley,Carlin Glynn,Blanche Baker,Edward Andrews,Billie Bird,Carole Cook,Max Showalter,Liane Curtis,John Cusack,Darren Harris,Debbie Pollack,Ross Berkson,Jonathan Chapin,Joan Cusack,Brian Doyle-Murray,Bekka Eaton,Pamela Elser,Steven Farber,Jami Gertz,Frank Howard,John Kapelos,Marge Kotlisky,Tony Longo,Steve Monarque,Bill Orsi,Beth Ringwald,Zelda Rubinstein,Dennis Vero,Elaine Wilkes",,http://image.tmdb.org/t/p/w185/rzTrRQg5ek47Yl0Vfenc69r9gOd.jpg,3.6,10575.0,A teenage girls deals with her parents forgetting her birthday and a crush on her high school's heartthrob.,"Comedy,Romance",http://106.12.12.171/if7IlmJHgi5Oo6SObOshWn1ZlOP.jpg,2144,Sixteen Candles (1984),Comedy|Romance,1984-05-04,10220,http://image.tmdb.org/t/p/w780/if7IlmJHgi5Oo6SObOshWn1ZlOP.jpg
430,Pretty in Pink,Howard Deutch,"Molly Ringwald,Jon Cryer,Andrew McCarthy,Harry Dean Stanton,Annie Potts,James Spader,Kate Vernon,Andrew Dice Clay,Kristy Swanson,Dweezil Zappa,Gina Gershon,Maggie Roswell,Emily Longstreth",,http://image.tmdb.org/t/p/w185/iSSExklJXBcevQuD8Rycq95fD2p.jpg,3.4,8926.0,"Andie is an outcast, hanging out either with her older boss, who owns the record store where she works, or her quirky high school classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realize that dating someone from a different social sphere is not easy.",Comedy,http://106.12.12.171/9c72JU6Agv9zPY5YWDsuekGd8kz.jpg,2145,Pretty in Pink (1986),Comedy|Drama|Romance,1986-02-28,8335,http://image.tmdb.org/t/p/w780/9c72JU6Agv9zPY5YWDsuekGd8kz.jpg
431,Rosemary's Baby,Roman Polanski,"Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer,Maurice Evans,Ralph Bellamy,Victoria Vetri,Patsy Kelly,Elisha Cook Jr.,Emmaline Henry,Marianne Gordon,Charles Grodin,Hanna Landy,Phil Leeds,D'Urville Martin,Hope Summers,Wende Wagner,William Castle,Bill Baldwin,Walter Baldwin,Tony Curtis,Jack Knight,George Savalas",,http://image.tmdb.org/t/p/w185/kqA1pt9ovovArgJZi2Lu4Unf6He.jpg,3.7,9766.0,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,"Horror,Drama,Mystery",http://106.12.12.171/3THF7D3uPqhV6k7iKsr2EyjqVPK.jpg,2160,Rosemary's Baby (1968),Drama|Horror|Thriller,1968-06-12,9350,http://image.tmdb.org/t/p/w780/3THF7D3uPqhV6k7iKsr2EyjqVPK.jpg
432,Blade,Stephen Norrington,"Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,Donal Logue,Udo Kier,Arly Jover,Traci Lords,Kevin Patrick Walls,Tim Guinee,Sanaa Lathan,Eric Edwards,Donna Wong,Carmen Thomas,Shannon Lee,Kenny Johnson,Clint Curtis,Judson Scott,Sidney S. Liufau,Keith Leon Williams,Andray Johnson,Stephen R. Peluso,Marcus Aurelius,John Enos III,Eboni 'Chrystal' Adams,Lyle Conway,Freeman White,D.V. DeVincentis,Marcus Salgado,Esau McKnight Jr.,Erl Van Douglas,Matt Schulze,Lennox Brown,Yvette Ocampo,Irena Stepic,Jenya Lano,Levan Uchaneishvili,Richard 'Dr.' Baily,Nikki DiSanto,Ryan Glorioso,Jeff Imada,Elliott James,Stephen Norrington,Gerald Okamura,Frankie Ray,Carrie Seeley,Beth Theriac,Ted King",,http://image.tmdb.org/t/p/w185/r0RQ9ZOEZglLOeYDNJTehVTRoR6.jpg,3.4,14480.0,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade and his mentor Whistler battle an evil vampire rebel (Deacon Frost) who plans to take over the outdated vampire council, capture Blade and resurrect voracious blood god La Magra.","Horror,Action",http://106.12.12.171/kTvGzXv4lIoQAOU8hAvdZtnEqy0.jpg,2167,Blade (1998),Action|Horror|Thriller,1998-08-21,14327,http://image.tmdb.org/t/p/w780/kTvGzXv4lIoQAOU8hAvdZtnEqy0.jpg
433,Beetlejuice,Tim Burton,"Geena Davis,Alec Baldwin,Winona Ryder,Michael Keaton,Catherine O'Hara,Jeffrey Jones,Glenn Shadix,Sylvia Sidney,Patrice Martinez,Dick Cavett,Robert Goulet,Maree Cheatham,Susan Kellermann,Carmen Filpi,Annie McEnroe,Rachel Mittelman,Hugo Stanger,Maurice Page,J. Jay Saunders,Mark Ettlinger,Cindy Daly,Tony Cox,Duane Davis,Simmy Bow,Adelle Lutz,Harry Belafonte,Charles Schneider,Christine Bridges",,http://image.tmdb.org/t/p/w185/gWnW7vxm8yr01TVLQhL4aI02orp.jpg,3.5,23516.0,"Thanks to an untimely demise via drowning, a young couple end up as poltergeists in their New England farmhouse, where they fail to meet the challenge of scaring away the insufferable new owners, who want to make drastic changes. In desperation, the undead newlyweds turn to an expert frightmeister, but he's got a diabolical agenda of his own.","Fantasy,Comedy",http://106.12.12.171/upAwc1kPQJU1ZWeMgEWV8Lp6CWb.jpg,2174,Beetlejuice (1988),Comedy|Fantasy,1988-02-29,23281,http://image.tmdb.org/t/p/w780/upAwc1kPQJU1ZWeMgEWV8Lp6CWb.jpg
434,Strangers on a Train,Alfred Hitchcock,"Farley Granger,Robert Walker,Ruth Roman,Patricia Hitchcock,Kasey Rogers,Leo G. Carroll,Marion Lorne,Jonathan Hale,Robert Gist,Howard St. John,Norma Varden,John Brown,Brooks Benedict,John Doucette,Harry Hines,Alfred Hitchcock",,http://image.tmdb.org/t/p/w185/mLbOGaaEFZXJFIumaKzN3uAqdHi.jpg,4.1,6069.0,A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder...a theory that he plans to implement.,"Crime,Drama,Thriller",http://106.12.12.171/3DL6BmslkyGHm70HXFNUwoYYIjb.jpg,2186,Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller,1951-06-18,5988,http://image.tmdb.org/t/p/w780/3DL6BmslkyGHm70HXFNUwoYYIjb.jpg
435,Willow,Ron Howard,"Warwick Davis,Val Kilmer,Joanne Whalley,Jean Marsh,Patricia Hayes,Billy Barty,Pat Roach,Gavin O'Herlihy,David Steinberg,Phil Fondacaro,Mark Northover,Tony Cox,Kevin Pollak,Rick Overton,Maria Holvoe,Julie Peters,Dawn Downing,Mark Vande Brake,Zulema Dene,Ruth Greenfield,Kate Greenfield,Kenny Baker,Ashley C. Williams,Michael Cotterill,Joanna Dickens,Jennifer Guy,Ron Tarr",,http://image.tmdb.org/t/p/w185/uxB76XmAMEFeeaRqsPAVumn6rTE.jpg,3.5,10725.0,"Fearful of a prophecy stating that a girl child will be born to bring about her downfall, the evil Queen Bavmorda imprisons all pregnant women within the formidable stronghold of Nockmaar. A child, Elora Danan, is born in the Nockmaar dungeons and identified as the prophesied child by a birthmark on her arm. However, before the black sorceress arrives to claim the child, Elora's mother convinces her reluctant midwife to escape with the baby. Willow, a timid farmer and aspiring sorcerer, is entrusted with delivering the royal infant from evil.","Action,Adventure,Fantasy",http://106.12.12.171/1HyOTDlkly2rlRWp2UBFTzKH8vt.jpg,2193,Willow (1988),Action|Adventure|Fantasy,1988-05-01,10429,http://image.tmdb.org/t/p/w780/1HyOTDlkly2rlRWp2UBFTzKH8vt.jpg
436,Rounders,John Dahl,"Matt Damon,John Turturro,Gretchen Mol,Goran Visnjic,Edward Norton,John Malkovich,Famke Janssen,Martin Landau,Mal Z. Lawrence,Paul Cicero,Ray Iannicelli,Merwin Goldsmith,Sonny Zito,Josh Mostel,Lenny Clarke,Peter Yoshida,Jay Boryea,Lenny Venito,Richard Mawe,Michael Lombardi,Tom Aldredge,Tom Aldredge,E. Matthew Yavne,Erik LaRay Harvey,Dominic Marcus,Brian Anthony Wilson,George Kmeck,Joseph Parisi,Melina Kanakaredes,Kohl Sudduth,Charlie Matthes,Hank Jacobs,Chris Messina,Michael Ryan Segal,Kerry O'Malley,Slava Schoot,Michael Rispoli,Michele Zanes,Allan Havey,Joey Vega,Neal Hemphill,Vernon E. Jordan Jr.,Johnny Chan,Lisa Gorlitsky,John Di Benedetto,Nicole Brier,Tony Hoty,Mario Mendoza,Joe Zaloom,Sal Richards,Josh Pais,John Gallagher Jr.,Adam LeFevre,P.J. Brown,David Zayas,Michael Arkin,Murphy Guyer,Alan Davidson,Bill Camp",,http://image.tmdb.org/t/p/w185/j5IzmdWdO5CqgeoyJLZ1dO7w375.jpg,3.7,7908.0,A young man is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks.,"Drama,Crime",http://106.12.12.171/IbRtRvkIFwZ6D3F2BliburxWgt.jpg,2231,Rounders (1998),Drama,1998-09-11,7626,http://image.tmdb.org/t/p/w780/IbRtRvkIFwZ6D3F2BliburxWgt.jpg
437,Cube,Vincenzo Natali,"Nicole de Boer,Nicky Guadagni,David Hewlett,Andrew Miller,Julian Richings,Wayne Robson,Maurice Dean Wint",,http://image.tmdb.org/t/p/w185/u50r6chJGO2iqxVAvtQ07obiCkB.jpg,3.6,7901.0,Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.,"Thriller,Science Fiction,Mystery",http://106.12.12.171/7BtMwHuHCgi0oE0SuITgfWOmPTu.jpg,2232,Cube (1997),Horror|Mystery|Sci-Fi|Thriller,1997-09-09,8003,http://image.tmdb.org/t/p/w780/7BtMwHuHCgi0oE0SuITgfWOmPTu.jpg
438,Broadcast News,James L. Brooks,"William Hurt,Albert Brooks,Holly Hunter,Robert Prosky,Lois Chiles,Joan Cusack,Peter Hackes,Christian Clemenson,Jack Nicholson,Robert Katims,Ed Wheeler,Stephen Mendillo,Kimber Shoop,Dwayne Markee,Gennie James,Leo Burmester,Marita Geraghty,Glen Roven,Marc Shaiman,John Cusack",,http://image.tmdb.org/t/p/w185/lbuBF2FbPqFoMSIY8BsXNMMhctR.jpg,3.7,6380.0,"Basket-case network news producer Jane Craig falls for new reporter Tom Grunnick, a pretty boy who represents the trend towards entertainment news she despises. Aaron Altman, a talented but plain correspondent, carries an unrequited torch for Jane. Sparks fly between the three as the network prepares for big changes, and both the news and Jane must decide between style and substance.","Comedy,Drama,Romance",http://106.12.12.171/svrQbbe3QObLFrQNcOxDeTf4ZPZ.jpg,2243,Broadcast News (1987),Comedy|Drama|Romance,1987-12-16,6206,http://image.tmdb.org/t/p/w780/svrQbbe3QObLFrQNcOxDeTf4ZPZ.jpg
439,Working Girl,Mike Nichols,"Harrison Ford,Melanie Griffith,Sigourney Weaver,Alec Baldwin,Joan Cusack,Philip Bosco,Nora Dunn,Oliver Platt,James Lally,Kevin Spacey,Robert Easton,Olympia Dukakis,Elizabeth Whitcraft,Jeffrey Nordling,Amy Aquino,Timothy Carhart,David Duchovny,Zach Grenier,Ricki Lake,Caroline Aaron",,http://image.tmdb.org/t/p/w185/nuI5dlPhKb0H1wyn85fIJirdwpX.jpg,3.3,5226.0,"Witty, romantic look at life in the corporate jungle. Tess McGill is an ambitious secretary with a unique approach for climbing the ladder to success. When her classy, but villainous boss breaks a leg skiing, Tess takes over her office, her apartment and even her wardrobe. She creates a deal with a handsome investment banker that will either take her to the top, or finish her off for good.","Comedy,Drama,Romance",http://106.12.12.171/5TmSUZKlDPeglPvqRnbfCU05KUQ.jpg,2245,Working Girl (1988),Comedy|Drama|Romance,1988-12-20,5077,http://image.tmdb.org/t/p/w780/5TmSUZKlDPeglPvqRnbfCU05KUQ.jpg
440,Say Anything...,Cameron Crowe,"John Cusack,Ione Skye,John Mahoney,Lili Taylor,Amy Brooks,Pamela Adlon,Jason Gould,Loren Dean,Jeremy Piven,Johnny Green,Patrick O'Neill,Don Wilson,Bebe Neuwirth,Eric Stoltz,Philip Baker Hall,Joan Cusack,Stone Gossard,Dan Castellaneta",,http://image.tmdb.org/t/p/w185/oVlRVSZx5IpQCC6uymBYpP1fggB.jpg,3.8,10480.0,"A budding romance between noble underachiever Lloyd Dobler and high school valedictorian Diane Court is threatened when Diane's overly possessive, disapproving father interferes with their relationship. With a prized scholarship to study abroad hanging in the balance, Diane must find a way to make both men happy.","Comedy,Drama,Romance",http://106.12.12.171/2BDKuo7SdIWKdMdTLAqvDw6DZeX.jpg,2248,Say Anything... (1989),Comedy|Drama|Romance,1989-04-14,10203,http://image.tmdb.org/t/p/w780/2BDKuo7SdIWKdMdTLAqvDw6DZeX.jpg
441,Toys,Barry Levinson,"Robin Williams,Michael Gambon,Joan Cusack,Robin Wright,Jack Warden,Debi Mazar,LL Cool J,Donald O'Connor,Arthur Malet,Jamie Foxx,Blake Clark",,http://image.tmdb.org/t/p/w185/xWQ8ONckSDgy0OXJyDq5hVhuxgP.jpg,2.8,4331.0,"Leslie Zevo is a fun-loving inventor who must save his late father's toy factory from his evil uncle, Leland, a war-mongering general who rules the operation with an iron fist and builds weapons disguised as toys.","Fantasy,Comedy,Science Fiction",http://106.12.12.171/lJfOdg9ZbwplMukH3rN0doVNQhK.jpg,2253,Toys (1992),Comedy|Fantasy,1992-12-18,4074,http://image.tmdb.org/t/p/w780/lJfOdg9ZbwplMukH3rN0doVNQhK.jpg
442,Rush Hour,Brett Ratner,"Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,Tzi Ma,Chris Penn,Robert Littman,Michael Chow,Julia Hsu,Kai Lennox,Elizabeth Peña,Roger Fan,George Cheung,Larry Sullivan,Rex Linn,Lucy Lin,Mark Rolston,Philip Baker Hall,John Hawkes,Ai Wan,Tommy Bush,Billy Devlin,Barry Shabaka Henley,Yang Lin,Jason Davis,Gene LeBell,Wayne A. King,Manny Perry,Kevin L. Jackson,Ronald D. Brown,Clifton Powell,Matthew Barry,Stanley DeSantis,Dan Martin,Kevin Lowe,Albert Wong,Lydia Look,Chan Man-Ching,Ken Lo,Stuart Yee,Andy Cheng,Christine Ng,Frances Fong,Robert Kotecki,Ada Tai,Arlene Tai,Nina Ameri,Stephen Blackehart,Michael Finuoli,Victoria Genisce,Sarah Krasner,James Lew,Jody Millard,Deirdre O'Brien,Norman D. Wilson",,http://image.tmdb.org/t/p/w185/jdfxpW5LF36sHsHjyH8CMBEG4TF.jpg,3.4,12768.0,"When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping, the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines, Lee and Carter form an unlikely partnership and investigate the case themselves.","Action,Comedy,Crime,Thriller",http://106.12.12.171/8GgXo5TQO3ccARNLn7rcWdbTTsx.jpg,2273,Rush Hour (1998),Action|Comedy|Crime|Thriller,1998-09-18,12604,http://image.tmdb.org/t/p/w780/8GgXo5TQO3ccARNLn7rcWdbTTsx.jpg
443,Edward Scissorhands,Tim Burton,"Johnny Depp,Winona Ryder,Dianne Wiest,Alan Arkin,Anthony Michael Hall,Vincent Price,Kathy Baker,Robert Oliveri,Conchata Ferrell,Caroline Aaron,Dick Anthony Williams,O-Lan Jones,Susan Blommaert,Linda Perri,John Davidson,Biff Yeager,Donna Pieroni,Alan Fudge,Brett Rice,Marc Macaulay,Stuart Lancaster,Steven Brill,Gina Gallagher,Aaron Lustig,Peter Palmer,Kathy Lockwood,Nick Carter,Tim Rerucha",,http://image.tmdb.org/t/p/w185/kgLTB53HinftRRwhft7yrUOclDC.jpg,3.7,25903.0,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,"Fantasy,Drama,Romance",http://106.12.12.171/8XVovs4mLYZmmr2pgU5KYXkohcP.jpg,2291,Edward Scissorhands (1990),Drama|Fantasy|Romance,1990-12-05,26060,http://image.tmdb.org/t/p/w780/8XVovs4mLYZmmr2pgU5KYXkohcP.jpg
444,Antz,"Eric Darnell,Tim Johnson","Woody Allen,Dan Aykroyd,Anne Bancroft,Danny Glover,Gene Hackman,Jane Curtin,Jennifer Lopez,John Mahoney,Paul Mazursky,Grant Shaud,Sylvester Stallone,Sharon Stone,Christopher Walken,Jim Cummings,April Winchell,Eric Darnell,Gary Schwartz,Jerry Sroka",,http://image.tmdb.org/t/p/w185/3biVcPu5hrfKUMC73sTFq17dmmS.jpg,3.2,12820.0,"In this animated hit, a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.","Adventure,Animation,Comedy,Family",http://106.12.12.171/2S5MGcHJhYuSnlaOAM6bQWlwMoY.jpg,2294,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy,1998-10-02,12363,http://image.tmdb.org/t/p/w780/2S5MGcHJhYuSnlaOAM6bQWlwMoY.jpg
445,What Dreams May Come,Vincent Ward,"Robin Williams,Cuba Gooding Jr.,Annabella Sciorra,Max von Sydow,Jessica Brooks Grant,Josh Paddock,Rosalind Chao,Lucinda Jenney,Maggie McCarthy,Carin Sprague,Wilma Bonet,Matt Salinger,June Carryl,Werner Herzog,Benjamin Brock,London Freeman,Phaedra Neitzel,Tom O'Reilly",,http://image.tmdb.org/t/p/w185/rNQH6Q8RPXD59aqGckST3CKQbCf.jpg,3.3,4976.0,"Chris Neilson dies to find himself in a heaven more amazing than he could have ever dreamed of. There is one thing missing: his wife. After he dies, his wife, Annie killed herself and went to hell. Chris decides to risk eternity in hades for the small chance that he will be able to bring her back to heaven.","Drama,Fantasy,Romance",http://106.12.12.171/6Gr7PeC4JGX7dlb5f0sjsdNwkCm.jpg,2297,What Dreams May Come (1998),Adventure|Drama|Fantasy|Romance,1998-10-02,4784,http://image.tmdb.org/t/p/w780/6Gr7PeC4JGX7dlb5f0sjsdNwkCm.jpg
446,My Cousin Vinny,Jonathan Lynn,"Joe Pesci,Ralph Macchio,Marisa Tomei,Mitchell Whitfield,Fred Gwynne,Bruce McGill,Lane Smith,Austin Pendleton,Raynor Scheine,James Rebhorn,Chris Ellis",,http://image.tmdb.org/t/p/w185/zcd2U5BAP0rYOucfcj8nE4VVVKC.jpg,3.6,16876.0,"Two carefree pals traveling through Alabama are mistakenly arrested, and charged with murder. Fortunately, one of them has a cousin who's a lawyer - Vincent Gambini, a former auto mechanic from Brooklyn who just passed his bar exam after his sixth try. When he arrives with his leather-clad girlfriend , to try his first case, it's a real shock - for him and the Deep South!","Comedy,Drama",http://106.12.12.171/AsQfq68MrMt5Itb8wTIzkLLGGoI.jpg,2302,My Cousin Vinny (1992),Comedy,1992-03-13,16213,http://image.tmdb.org/t/p/w780/AsQfq68MrMt5Itb8wTIzkLLGGoI.jpg
